jugador,posicion,club_tm,club_id,lesion,hasta_txt,valor,div,equipo,hasta
Amad Diallo,Right Winger,Manchester United,985,Knock,,45000000.0,E0,Man United,
Azor Matusiwa,Defensive Midfield,Ipswich Town,677,Knee surgery,,12000000.0,E0,Ipswich,
Florentino,Defensive Midfield,Ipswich Town,677,Calf problems,,16000000.0,E0,Ipswich,
Jack Taylor,Central Midfield,Ipswich Town,677,Knee surgery,,3000000.0,E0,Ipswich,
Jaden Philogene,Left Winger,Ipswich Town,677,Ankle injury,,20000000.0,E0,Ipswich,
Dan Burn,Centre-Back,Newcastle United,762,Ankle injury,,4000000.0,E0,Newcastle,
Joelinton,Central Midfield,Newcastle United,762,unknown injury,,25000000.0,E0,Newcastle,
Tino Livramento,Right-Back,Newcastle United,762,Knee injury,,45000000.0,E0,Newcastle,
William Osula,Centre-Forward,Newcastle United,762,Foot injury,,28000000.0,E0,Newcastle,
Ismaïla Sarr,Right Winger,Crystal Palace,873,Groin injury,,45000000.0,E0,Crystal Palace,
Jean-Philippe Mateta,Centre-Forward,Crystal Palace,873,Hamstring injury,,30000000.0,E0,Crystal Palace,
Chadi Riad,Centre-Back,Crystal Palace,873,Knee surgery,,20000000.0,E0,Crystal Palace,
Manuel Ugarte,Defensive Midfield,Manchester United,985,Cruciate ligament tear,,25000000.0,E0,Man United,
William Saliba,Centre-Back,Arsenal FC,11,Back injury,,100000000.0,E0,Arsenal,
Junior Kroupi,Centre-Forward,AFC Bournemouth,989,Foot injury,,70000000.0,E0,Bournemouth,
Benjamin Fredrick,Centre-Back,Brentford FC,1148,Knee injury,,600000.0,E0,Brentford,
Mats Wieffer,Right-Back,Brighton & Hove Albion,1237,Knee injury,,25000000.0,E0,Brighton,
Kaoru Mitoma,Left Winger,Brighton & Hove Albion,1237,Hamstring injury,,22000000.0,E0,Brighton,
Georginio Rutter,Centre-Forward,Brighton & Hove Albion,1237,Foot injury,,30000000.0,E0,Brighton,
Evan Ferguson,Centre-Forward,Brighton & Hove Albion,1237,Ankle problems,,20000000.0,E0,Brighton,
Jack Hinshelwood,Defensive Midfield,Brighton & Hove Albion,1237,unknown injury,,28000000.0,E0,Brighton,
Stefanos Tzimas,Centre-Forward,Brighton & Hove Albion,1237,Cruciate ligament tear,,18000000.0,E0,Brighton,
Yankuba Minteh,Right Winger,Brighton & Hove Albion,1237,Foot injury,,45000000.0,E0,Brighton,
Joe Gelhardt,Centre-Forward,Hull City,3008,Ankle injury,,14000000.0,E0,Hull,
Darko Gyabi,Central Midfield,Hull City,3008,Groin injury,,2000000.0,E0,Hull,
Ilyas Ansah,Centre-Forward,Hull City,3008,Back problems,,12000000.0,E0,Hull,
Moisés Caicedo,Defensive Midfield,Chelsea FC,631,unknown injury,,100000000.0,E0,Chelsea,
Jurriën Timber,Right-Back,Arsenal FC,11,Groin injury,,70000000.0,E0,Arsenal,
Cristhian Mosquera,Centre-Back,Arsenal FC,11,Hamstring injury,,40000000.0,E0,Arsenal,
Christian Nørgaard,Defensive Midfield,Everton FC,29,Groin injury,,5000000.0,E0,Everton,
Joe Gomez,Centre-Back,Liverpool FC,31,Muscle injury,,13000000.0,E0,Liverpool,
Conor Bradley,Right-Back,Liverpool FC,31,Knee surgery,,25000000.0,E0,Liverpool,
James Maddison,Attacking Midfield,Tottenham Hotspur,148,Shoulder injury,,20000000.0,E0,Tottenham,
Jérémy Doku,Left Winger,Manchester City,281,Calf injury,,75000000.0,E0,Man City,
Marco Palestra,Right-Back,Chelsea FC,631,unknown injury,,35000000.0,E0,Chelsea,
Jordan Henderson,Central Midfield,Chelsea FC,631,Forearm fracture,,1200000.0,E0,Chelsea,
Brian Madjo,Centre-Forward,Aston Villa,405,Ankle injury,,12000000.0,E0,Aston Villa,
Johan Manzambi,Attacking Midfield,Aston Villa,405,Knee bruise,,65000000.0,E0,Aston Villa,
Amadou Onana,Defensive Midfield,Aston Villa,405,Cruciate ligament tear,,45000000.0,E0,Aston Villa,
Ilia Gruev,Defensive Midfield,Leeds United,399,Knee injury,14/09/2026,12000000.0,E0,Leeds,2026-09-14
Mathias Jensen,Central Midfield,Brentford FC,1148,Muscle strain,14/09/2026,10000000.0,E0,Brentford,2026-09-14
Carlos Baleba,Defensive Midfield,Manchester United,985,Ankle injury,17/09/2026,55000000.0,E0,Man United,2026-09-17
Federico Chiesa,Right Winger,Liverpool FC,31,Muscle injury,27/09/2026,13000000.0,E0,Liverpool,2026-09-27
Vitezslav Jaros,Goalkeeper,Liverpool FC,31,Knee injury,01/10/2026,5000000.0,E0,Liverpool,2026-10-01
Josh Dasilva,Central Midfield,Brentford FC,1148,Hamstring injury,06/10/2026,1500000.0,E0,Brentford,2026-10-06
Sepp van den Berg,Centre-Back,Brentford FC,1148,Groin injury,06/10/2026,32000000.0,E0,Brentford,2026-10-06
Leon Goretzka,Central Midfield,Aston Villa,405,unknown injury,06/10/2026,12000000.0,E0,Aston Villa,2026-10-06
Tom Cairney,Central Midfield,Fulham FC,931,Knee surgery,09/10/2026,500000.0,E0,Fulham,2026-10-09
Nicolò Savona,Right-Back,Nottingham Forest,703,Knee injury,11/10/2026,15000000.0,E0,Nott'm Forest,2026-10-11
Habib Diarra,Central Midfield,Sunderland AFC,289,Hamstring injury,16/10/2026,35000000.0,E0,Sunderland,2026-10-16
Charlie Hughes,Centre-Back,Hull City,3008,Inguinal hernia,24/10/2026,10000000.0,E0,Hull,2026-10-24
Giovanni Leoni,Centre-Back,Liverpool FC,31,Cruciate ligament tear,31/10/2026,25000000.0,E0,Liverpool,2026-10-31
Joe Rodon,Centre-Back,Leeds United,399,Hamstring injury,08/11/2026,18000000.0,E0,Leeds,2026-11-08
Mykhaylo Mudryk,Left Winger,Tottenham Hotspur,148,Ankle injury,09/11/2026,15000000.0,E0,Tottenham,2026-11-09
Haji Wright,Centre-Forward,Coventry City,990,Thigh problems,11/11/2026,16000000.0,E0,Coventry,2026-11-11
Wilson Odobert,Left Winger,Tottenham Hotspur,148,Cruciate ligament tear,28/11/2026,18000000.0,E0,Tottenham,2026-11-28
Eliot Matazo,Central Midfield,Hull City,3008,Cruciate ligament tear,30/11/2026,1500000.0,E0,Hull,2026-11-30
Hugo Ekitiké,Centre-Forward,Liverpool FC,31,Achilles tendon rupture,31/12/2026,80000000.0,E0,Liverpool,2026-12-31
Mateo Joseph,Centre-Forward,Leeds United,399,Cruciate ligament tear,01/02/2027,3500000.0,E0,Leeds,2027-02-01
Xavi Simons,Attacking Midfield,Tottenham Hotspur,148,Cruciate ligament tear,20/02/2027,40000000.0,E0,Tottenham,2027-02-20
Federico Ravaglia,Goalkeeper,Watford FC,1010,Lumbago,,1800000.0,E1,Watford,
Micah Mbick,Centre-Forward,Charlton Athletic,358,Knee injury,,175000.0,E1,Charlton,
Craig Forsyth,Left-Back,Derby County,22,Knee injury,,50000.0,E1,Derby,
Theo Carroll,Attacking Midfield,Preston North End,466,Ankle injury,,,E1,Preston,
Junior Tchamadeu,Right-Back,Stoke City,512,Knee injury,,2500000.0,E1,Stoke,
Dylan Lawlor,Centre-Back,Cardiff City,603,Knee injury,,1800000.0,E1,Cardiff,
Luke McNally,Centre-Back,Bristol City,698,Cruciate ligament injury,,2000000.0,E1,Bristol City,
Cameron Pring,Left-Back,Bristol City,698,Ankle injury,,2000000.0,E1,Bristol City,
Mikey Johnston,Left Winger,West Bromwich Albion,984,fatigue fracture,,4000000.0,E1,West Brom,
Daniel Bachmann,Goalkeeper,Watford FC,1010,unknown injury,,400000.0,E1,Watford,
Tomáš Souček,Defensive Midfield,West Ham United,379,Ankle injury,,10000000.0,E1,West Ham,
Jacob Farrell,Left-Back,Portsmouth FC,1020,Groin injury,,450000.0,E1,Portsmouth,
Tristan Crama,Centre-Back,Millwall FC,1028,Ankle injury,,12000000.0,E1,Millwall,
Jimmy Dunne,Centre-Back,Queens Park Rangers,1039,Knee injury,,5000000.0,E1,QPR,
Justin Obikwu,Centre-Forward,Queens Park Rangers,1039,Shin injury,,125000.0,E1,QPR,
Sebastian Revan,Left-Back,Wrexham AFC,1112,Hamstring injury,,500000.0,E1,Wrexham,
Mirko Topic,Defensive Midfield,Norwich City,1123,Cruciate ligament tear,,4000000.0,E1,Norwich,
Josh Honohan,Left-Back,Lincoln City,1198,unknown injury,,250000.0,E1,Lincoln,
Mason Melia,Centre-Forward,Lincoln City,1198,Thigh problems,,1000000.0,E1,Lincoln,
Cameron Burgess,Centre-Back,Swansea City,2288,Achilles tendon rupture,,1500000.0,E1,Swansea,
Femi Seriki,Right-Back,Sheffield United,350,Knee injury,,5000000.0,E1,Sheffield United,
Carlton Morris,Centre-Forward,Derby County,22,Calf muscle tear,,4500000.0,E1,Derby,
Matt Clarke,Centre-Back,Derby County,22,Calf injury,,2000000.0,E1,Derby,
Lewis Travis,Defensive Midfield,Derby County,22,Leg injury,,1800000.0,E1,Derby,
Rhian Brewster,Centre-Forward,Derby County,22,concussion,,2500000.0,E1,Derby,
Derry Murkin,Left-Back,Derby County,22,Hamstring injury,,1500000.0,E1,Derby,
Patrick Agyemang,Centre-Forward,Derby County,22,Achilles tendon rupture,,10000000.0,E1,Derby,
Scott Wharton,Centre-Back,Blackburn Rovers,164,Achilles tendon problems,,1300000.0,E1,Blackburn,
Augustus Kargbo,Second Striker,Blackburn Rovers,164,Hamstring injury,,1000000.0,E1,Blackburn,
Ryan Manning,Left-Back,Southampton FC,180,unknown injury,,2800000.0,E1,Southampton,
Mads Roerslev,Right-Back,Southampton FC,180,Knee injury,,4000000.0,E1,Southampton,
Finn Azaz,Attacking Midfield,Southampton FC,180,unknown injury,,20000000.0,E1,Southampton,
Caspar Jander,Central Midfield,Southampton FC,180,Hamstring injury,,18000000.0,E1,Southampton,
Max Bird,Central Midfield,Birmingham City,337,Calf injury,,2500000.0,E1,Birmingham,
Lee Buchanan,Left-Back,Birmingham City,337,Cruciate ligament injury,,1200000.0,E1,Birmingham,
Jamie Shackleton,Right-Back,Sheffield United,350,Foot injury,,1000000.0,E1,Sheffield United,
Luca Stephenson,Right-Back,Bolton Wanderers,355,Strain in the thigh and gluteal muscles,,1000000.0,E1,Bolton,
Josh Cullen,Central Midfield,Burnley FC,1132,Cruciate ligament tear,01/10/2026,4000000.0,E1,Burnley,2026-10-01
Dastan Satpaev,Centre-Forward,Burnley FC,1132,Hamstring injury,04/10/2026,3500000.0,E1,Burnley,2026-10-04
Márk Kosznovszky,Central Midfield,Portsmouth FC,1020,Knee injury,01/11/2026,1000000.0,E1,Portsmouth,2026-11-01
Lewis Miller,Right-Back,Blackburn Rovers,164,Achilles tendon rupture,15/11/2026,1200000.0,E1,Blackburn,2026-11-15
Marc Leonard,Central Midfield,Birmingham City,337,Achilles tendon rupture,31/12/2026,2000000.0,E1,Birmingham,2026-12-31
Tendayi Darikwa,Right-Back,Lincoln City,1198,Cruciate ligament tear,30/06/2027,200000.0,E1,Lincoln,2027-06-30
Raúl de Tomás,Centre-Forward,Rayo Vallecano,367,unknown injury,,400000.0,SP1,Vallecano,
Rubén Vargas,Left Winger,Sevilla FC,368,Knee problems,,15000000.0,SP1,Sevilla,
Éder Militão,Centre-Back,Real Madrid,418,Muscle injury,,20000000.0,SP1,Real Madrid,
Andrés Martín,Right Winger,Racing Santander,630,Knee injury,,8000000.0,SP1,Santander,
Simon Eriksson,Goalkeeper,Racing Santander,630,Tendonitis,,2000000.0,SP1,Santander,
Noé Carrillo,Central Midfield,Deportivo A Coruña,897,Ankle injury,,1000000.0,SP1,La Coruna,
Kike García,Centre-Forward,RCD Espanyol Barcelona,714,Muscle injury,,700000.0,SP1,Espanol,
Aitor Ruibal,Right Winger,Real Betis Balompié,150,Meniscus injury,14/09/2026,4000000.0,SP1,Betis,2026-09-14
Rodrygo,Right Winger,Real Madrid,418,Cruciate ligament tear,30/09/2026,45000000.0,SP1,Real Madrid,2026-09-30
Mouctar Diakhaby,Centre-Back,Valencia CF,1049,Muscle injury,09/10/2026,1500000.0,SP1,Valencia,2026-10-09
Sergi Canós,Left Winger,Valencia CF,1049,Cruciate ligament tear,01/11/2026,600000.0,SP1,Valencia,2026-11-01
Umar Sadiq,Centre-Forward,Valencia CF,1049,Hamstring injury,02/11/2026,4000000.0,SP1,Valencia,2026-11-02
Augusto Batalla,Goalkeeper,Rayo Vallecano,367,Lower leg fracture,22/11/2026,6000000.0,SP1,Vallecano,2026-11-22
Frenkie de Jong,Central Midfield,FC Barcelona,131,Knee medial ligament tear,30/11/2026,35000000.0,SP1,Barcelona,2026-11-30
Álvaro Odriozola,Right-Back,Real Sociedad,681,Cruciate ligament tear,30/11/2026,800000.0,SP1,Sociedad,2026-11-30
Diego López,Right Winger,Valencia CF,1049,Cruciate ligament tear,01/03/2027,9000000.0,SP1,Valencia,2027-03-01
Unai Egiluz,Centre-Back,Athletic Bilbao,621,Cruciate ligament tear,06/03/2027,400000.0,SP1,Ath Bilbao,2027-03-06
Mikel Rodriguez,Central Midfield,Deportivo Alavés,1108,Cruciate ligament tear,04/04/2027,700000.0,SP1,Alaves,2027-04-04
Ferland Mendy,Left-Back,Real Madrid,418,Tendon rupture,30/04/2027,4000000.0,SP1,Real Madrid,2027-04-30
Roony Bardghji,Right Winger,FC Barcelona,131,Cruciate ligament tear,10/05/2027,15000000.0,SP1,Barcelona,2027-05-10
Julen Lobete,Left Winger,Málaga CF,1084,Cruciate ligament tear,30/06/2027,1200000.0,SP1,Malaga,2027-06-30
Christantus Uche,Centre-Forward,Getafe CF,3709,Knee injury,30/06/2027,12000000.0,SP1,Getafe,2027-06-30
Jan Salas,Central Midfield,RCD Mallorca,237,Partial damage to the cruciate ligament,,500000.0,SP2,Mallorca,
Álex Suárez,Centre-Back,UD Las Palmas,472,Muscle injury,,500000.0,SP2,Las Palmas,
Alassan Manjam,Left Winger,CD Tenerife,648,Tendon rupture,,300000.0,SP2,Tenerife,
Iuri Tabatadze,Right Winger,Cádiz CF,2687,unknown injury,,1200000.0,SP2,Cadiz,
Giorgi Gocholeishvili,Right-Back,Cádiz CF,2687,Torn lateral ankle ligament,,2000000.0,SP2,Cadiz,
Stefan Bajcetic,Defensive Midfield,RC Celta Fortuna,8733,surgery,,4000000.0,SP2,Celta B,
Ekain Orobengoa,Centre-Forward,Real Sociedad B,9899,Knee injury,,200000.0,SP2,Sociedad B,
Adilson,Left Winger,Córdoba CF,993,Cruciate ligament tear,28/10/2026,300000.0,SP2,Cordoba,2026-10-28
Guille Bueno,Left-Back,Real Valladolid CF,366,Cruciate ligament tear,31/10/2026,1200000.0,SP2,Valladolid,2026-10-31
Théo Le Normand,Central Midfield,FC Andorra,10718,Cruciate ligament tear,10/12/2026,400000.0,SP2,Andorra,2026-12-10
Anthony Khayat,Centre-Back,RC Celta Fortuna,8733,Cruciate ligament tear,17/12/2026,50000.0,SP2,Celta B,2026-12-17
Kenneth Mamah,Right Winger,AD Ceuta FC,8568,Groin injury,01/01/2027,700000.0,SP2,Ceuta,2027-01-01
Fabrizio Brignani,Centre-Back,CD Castellón,2502,Cruciate ligament injury,22/02/2027,1200000.0,SP2,Castellon,2027-02-22
Samuel Obeng,Centre-Forward,Albacete Balompié,1532,Cruciate ligament tear,16/04/2027,500000.0,SP2,Albacete,2027-04-16
Jacobo Martí,Right-Back,Córdoba CF,993,Meniscus injury,03/05/2027,100000.0,SP2,Cordoba,2027-05-03
Lorenz Assignon,Right-Back,VfB Stuttgart,79,Fitness,,9000000.0,D1,Stuttgart,
Marvin Friedrich,Centre-Back,1.FC Union Berlin,89,Knock,,1800000.0,D1,Union Berlin,
Keke Topp,Centre-Forward,SV Werder Bremen,86,Cruciate ligament tear,,3000000.0,D1,Werder Bremen,
Moussa Ndiaye,Left-Back,SV Werder Bremen,86,Groin problems,,4000000.0,D1,Werder Bremen,
Justin Njinmah,Right Winger,SV Werder Bremen,86,Hamstring injury,,5000000.0,D1,Werder Bremen,
Felix Agu,Left-Back,SV Werder Bremen,86,muscular problems,,4500000.0,D1,Werder Bremen,
Senne Lynen,Defensive Midfield,SV Werder Bremen,86,Pelvic contusion,,8000000.0,D1,Werder Bremen,
Jens Stage,Central Midfield,SV Werder Bremen,86,Tendon rupture,,14000000.0,D1,Werder Bremen,
Jarzinho Malanga,Attacking Midfield,VfB Stuttgart,79,Abdominal muscle strain,,1700000.0,D1,Stuttgart,
Oliver Burke,Centre-Forward,1.FC Union Berlin,89,Achilles tendon problems,,3000000.0,D1,Union Berlin,
Tiago Tomás,Right Winger,VfB Stuttgart,79,Muscle injury,,15000000.0,D1,Stuttgart,
Luca Jaquez,Centre-Back,VfB Stuttgart,79,Fitness,,10000000.0,D1,Stuttgart,
Nikolas Nartey,Central Midfield,VfB Stuttgart,79,Muscle injury,,10000000.0,D1,Stuttgart,
Dan-Axel Zagadou,Centre-Back,VfB Stuttgart,79,Hamstring injury,,2000000.0,D1,Stuttgart,
Luis Seifert,Centre-Back,SV 07 Elversberg,64,Syndesmosis ligament tear,,200000.0,D1,Elversberg,
Tom Zimmerschied,Left Winger,SV 07 Elversberg,64,Back problems,,1500000.0,D1,Elversberg,
Luca Waldschmidt,Centre-Forward,1.FC Köln,3,muscular problems,,2000000.0,D1,FC Koln,
Patrick Osterhage,Defensive Midfield,SC Freiburg,60,muscular problems,,12000000.0,D1,Freiburg,
Stanley Nsoki,Centre-Back,1.FC Union Berlin,89,Muscle injury,,2000000.0,D1,Union Berlin,
Kastriot Imeri,Left Midfield,1.FC Union Berlin,89,unknown injury,,2000000.0,D1,Union Berlin,
Andrej Ilic,Centre-Forward,1.FC Union Berlin,89,Food poisoning,,9000000.0,D1,Union Berlin,
Andrik Markgraf,Left-Back,1.FC Union Berlin,89,Cruciate ligament tear,,300000.0,D1,Union Berlin,
Sven Michel,Right Winger,SC Paderborn 07,127,Groin injury,,300000.0,D1,Paderborn,
Timur Gayret,Central Midfield,SC Paderborn 07,127,Cruciate ligament tear,,450000.0,D1,Paderborn,
Nyamekye Awortwie-Grant,Centre-Back,SC Paderborn 07,127,Outer ligament problems,,400000.0,D1,Paderborn,
Lasse Eickel,Centre-Forward,SC Paderborn 07,127,Back problems,,150000.0,D1,Paderborn,
Steve Mounié,Centre-Forward,FC Augsburg,167,unknown injury,,1500000.0,D1,Augsburg,
Tim Breithaupt,Defensive Midfield,FC Augsburg,167,Toe injury,,800000.0,D1,Augsburg,
Anton Kade,Attacking Midfield,FC Augsburg,167,Muscle injury,,10000000.0,D1,Augsburg,
