jugador,posicion,club_tm,club_id,lesion,hasta_txt,valor,div
Amad Diallo,Right Winger,Manchester United,985,Knock,,45000000.0,E0
Azor Matusiwa,Defensive Midfield,Ipswich Town,677,Knee surgery,,12000000.0,E0
Florentino,Defensive Midfield,Ipswich Town,677,Calf problems,,16000000.0,E0
Jack Taylor,Central Midfield,Ipswich Town,677,Knee surgery,,3000000.0,E0
Jaden Philogene,Left Winger,Ipswich Town,677,Ankle injury,,20000000.0,E0
Dan Burn,Centre-Back,Newcastle United,762,Ankle injury,,4000000.0,E0
Joelinton,Central Midfield,Newcastle United,762,unknown injury,,25000000.0,E0
Tino Livramento,Right-Back,Newcastle United,762,Knee injury,,45000000.0,E0
William Osula,Centre-Forward,Newcastle United,762,Foot injury,,28000000.0,E0
Ismaïla Sarr,Right Winger,Crystal Palace,873,Groin injury,,45000000.0,E0
Jean-Philippe Mateta,Centre-Forward,Crystal Palace,873,Hamstring injury,,30000000.0,E0
Chadi Riad,Centre-Back,Crystal Palace,873,Knee surgery,,20000000.0,E0
Manuel Ugarte,Defensive Midfield,Manchester United,985,Cruciate ligament tear,,25000000.0,E0
William Saliba,Centre-Back,Arsenal FC,11,Back injury,,100000000.0,E0
Junior Kroupi,Centre-Forward,AFC Bournemouth,989,Foot injury,,70000000.0,E0
Benjamin Fredrick,Centre-Back,Brentford FC,1148,Knee injury,,600000.0,E0
Mats Wieffer,Right-Back,Brighton & Hove Albion,1237,Knee injury,,25000000.0,E0
Kaoru Mitoma,Left Winger,Brighton & Hove Albion,1237,Hamstring injury,,22000000.0,E0
Georginio Rutter,Centre-Forward,Brighton & Hove Albion,1237,Foot injury,,30000000.0,E0
Evan Ferguson,Centre-Forward,Brighton & Hove Albion,1237,Ankle problems,,20000000.0,E0
Jack Hinshelwood,Defensive Midfield,Brighton & Hove Albion,1237,unknown injury,,28000000.0,E0
Stefanos Tzimas,Centre-Forward,Brighton & Hove Albion,1237,Cruciate ligament tear,,18000000.0,E0
Yankuba Minteh,Right Winger,Brighton & Hove Albion,1237,Foot injury,,45000000.0,E0
Joe Gelhardt,Centre-Forward,Hull City,3008,Ankle injury,,14000000.0,E0
Darko Gyabi,Central Midfield,Hull City,3008,Groin injury,,2000000.0,E0
