equipo,elo,pais,liga,ultimo_partido,activo
Bayern Munich,1993.5211865067008,GER,D1,2026-09-13,True
Arsenal,1992.2658195590175,ENG,E0,2026-09-12,True
Barcelona,1937.1067958689937,ESP,SP1,2026-09-13,True
Paris SG,1916.7591871786756,FRA,F1,2026-09-13,True
Man City,1909.3114751884907,ENG,E0,2026-09-13,True
Real Madrid,1898.264306069932,ESP,SP1,2026-09-12,True
Inter,1892.7356868478225,ITA,I1,2026-09-14,True
Sp Lisbon,1844.397617748987,POR,P1,2026-09-13,True
PSV Eindhoven,1840.8526055142174,NED,N1,2026-09-13,True
Porto,1837.1115037315917,POR,P1,2026-09-12,True
Benfica,1833.9141568493847,POR,P1,2026-09-13,True
Liverpool,1829.3714481480893,ENG,E0,2026-09-12,True
Dortmund,1818.3886207367696,GER,D1,2026-09-12,True
Roma,1794.3303396694953,ITA,I1,2026-09-14,True
Galatasaray,1790.0815820025693,TUR,T1,2026-09-13,True
Ath Madrid,1784.8849075698995,ESP,SP1,2026-09-13,True
Leverkusen,1772.5136483508106,GER,D1,2026-09-12,True
Club Brugge,1766.7797798183378,BEL,B1,2026-09-13,True
Juventus,1765.6762731330473,ITA,I1,2026-09-13,True
St. Gilloise,1764.464396141231,BEL,B1,2026-09-12,True
Napoli,1760.6159215564312,ITA,I1,2026-09-13,True
Man United,1755.9402628785108,ENG,E0,2026-09-13,True
Fenerbahce,1755.7789487481161,TUR,T1,2026-09-14,True
Aston Villa,1747.0335849807161,ENG,E0,2026-09-12,True
Milan,1744.1576430226357,ITA,I1,2026-09-12,True
Olympiakos,1743.433225931087,GRE,G1,2026-09-12,True
Newcastle,1741.5368739646922,ENG,E0,2026-09-14,True
Brighton,1740.3548436349424,ENG,E0,2026-09-13,True
Bournemouth,1737.1983161821518,ENG,E0,2026-09-12,True
Chelsea,1733.167173674394,ENG,E0,2026-09-12,True
Como,1730.051984097985,ITA,I1,2026-09-14,True
AEK,1729.827337688135,GRE,G1,2026-09-13,True
Feyenoord,1726.226858243502,NED,N1,2026-09-13,True
Lille,1724.7644987363503,FRA,F1,2026-09-13,True
Atalanta,1720.8875731238888,ITA,I1,2026-09-12,True
Brentford,1717.2816558694976,ENG,E0,2026-09-12,True
Stuttgart,1716.8395143349899,GER,D1,2026-09-12,True
RB Leipzig,1714.7878394177685,GER,D1,2026-09-13,True
Betis,1714.3284775029003,ESP,SP1,2026-09-14,True
PAOK,1713.8424274746724,GRE,G1,2026-09-13,True
Monaco,1701.207610518106,FRA,F1,2026-09-12,True
Leeds,1699.40146944208,ENG,E0,2026-09-14,True
Lens,1696.625646543725,FRA,F1,2026-09-13,True
Nott'm Forest,1695.259744631933,ENG,E0,2026-09-12,True
Lazio,1691.8868064957292,ITA,I1,2026-09-12,True
Lyon,1688.899193934377,FRA,F1,2026-09-12,True
