equipo,pts5,pts10,gf5,gc5,gf10,gc10,tap_f5,tap_c5,tiros_f10,tiros_c10,elo_tend,fecha
AC Sparta Praha (CZE),0.0,0.5,0.6,3.0,0.875,2.625,,,,,-13.36127108744904,2025-01-29
AEK,2.2,2.0,2.6,0.6,2.0,0.6,6.2,3.0,16.1,10.8,-0.11349610193724402,2026-09-20
APOEL Nikosia (CYP),0.4,0.2,0.4,2.8,0.2,2.7,,,,,4.759811148871904,2017-12-06
AVS,1.8,1.2,1.6,1.0,0.9,1.0,3.8,6.0,11.9,17.0,45.07591451014696,2026-05-16
AZ Alkmaar,2.6,2.2,2.4,1.0,2.4,1.2,8.0,2.8,18.3,9.3,17.788677772906112,2026-09-20
Aalen,0.8,1.3,1.6,2.2,1.7,1.6,,,,,-13.767507807005359,2015-05-24
Aberdeen,1.0,1.1,1.0,1.0,1.1,1.3,2.4,5.6,10.1,14.6,18.0534694506689,2026-09-19
Academica,0.4,0.6,0.6,1.6,1.0,1.8,,,,,-10.6375050721133,2016-05-14
Academico Viseu,2.0,1.5714285714285714,1.4,1.2,1.2857142857142858,1.2857142857142858,3.4,4.8,9.285714285714286,17.571428571428573,24.61221594644985,2026-09-20
Ad. Demirspor,0.8,0.4,1.4,3.0,0.9,3.2,4.8,8.6,10.2,19.0,-14.585606679892635,2025-05-31
Adanaspor,1.0,0.8,1.0,1.4,1.2,2.3,,,,,8.174612957373483,2017-06-03
Ajaccio,1.0,1.2,0.6,1.2,1.0,1.4,2.4,4.6,10.8,12.7,-1.474428555224904,2025-05-10
Ajaccio GFCO,0.4,0.9,0.8,1.6,0.6,1.1,4.6,2.8,13.5,9.2,-18.04285094233319,2019-05-17
Ajax,2.0,1.6,3.4,1.4,2.4,1.3,9.2,3.8,22.4,10.4,7.203043742228147,2026-09-19
Akhisar Belediyespor,0.6,0.6,0.6,1.2,0.9,1.5,3.4,5.2,13.6,15.9,-9.648567977264065,2019-05-25
Alanyaspor,2.0,1.5,1.4,1.0,1.4,1.2,3.2,4.8,11.4,13.1,18.034233124750926,2026-09-19
Alaves,1.4,1.7,1.4,1.0,1.4,0.8,4.0,4.8,12.2,11.6,6.230059507515762,2026-09-19
Albacete,0.2,1.0,0.6,1.6,1.1,1.4,3.8,5.2,12.3,14.6,-33.58549755927265,2026-09-18
Alcorcon,0.6,1.1,1.0,1.4,0.8,1.0,4.8,5.8,12.5,15.6,-2.189026979662458,2024-06-02
Alessandria,1.6,0.9,1.2,0.8,0.9,1.7,3.8,2.8,11.3,11.0,12.106314115722626,2022-05-06
Almere City,0.6,0.8,0.6,1.4,0.8,1.6,4.6,4.0,15.2,14.5,-8.467454996719198,2025-05-18
Almeria,1.8,1.6,1.4,0.8,1.3,0.9,3.6,2.4,15.4,13.3,2.237834310350763,2026-09-20
Altay,0.8,0.8,1.0,1.6,1.0,1.6,4.4,3.4,11.0,11.9,-7.493402845745095,2022-05-21
Alverca,1.4,0.9,1.4,1.4,1.0,1.4,3.8,4.4,10.8,11.9,9.991186720314317,2026-09-19
Amedspor,2.0,2.1666666666666665,2.4,1.4,2.5,1.1666666666666667,5.2,4.8,14.666666666666666,11.0,30.488308552438866,2026-09-20
Amiens,0.0,0.1,0.6,2.8,0.9,2.6,3.0,7.2,11.7,14.8,-34.87467272846584,2026-05-09
Amorebieta,1.4,1.5,0.6,1.2,1.1,1.4,2.8,5.4,10.8,14.8,8.100050159779812,2024-06-02
Anderlecht,2.0,1.7,1.0,0.6,1.3,1.3,4.4,3.6,15.8,11.2,12.091386248788922,2026-09-19
Andorra,0.0,0.6,0.8,2.4,1.5,1.9,5.0,4.0,17.3,8.7,-52.85005187761044,2026-09-19
Angers,1.4,1.0,1.2,1.0,1.0,1.4,3.0,5.8,12.0,16.7,14.417527919388021,2026-09-19
Ankaragucu,0.6,1.0,1.2,1.8,1.3,1.6,6.2,4.2,13.5,12.6,-13.03682719682638,2024-05-26
Annecy,0.8,1.6,1.2,1.8,1.7,1.3,3.6,4.6,10.8,12.2,-18.46875042143438,2026-09-18
Antalyaspor,0.8,0.8,0.6,1.6,0.9,1.7,3.4,4.8,12.3,13.4,-12.011145332606702,2026-05-17
Antwerp,0.2,1.1,1.2,2.8,1.3,1.8,4.8,8.4,15.0,17.3,-28.337841380029204,2026-09-20
Apollon,1.2,0.9,1.2,1.8,0.7,1.8,4.2,3.6,5.6,9.5,12.132234962121402,2022-05-15
Arezzo,1.2,1.2,1.2,2.6,1.2,2.6,2.8,5.2,12.4,12.8,,2026-09-20
Aris,1.4,2.2,1.0,2.0,1.8,1.4,4.8,4.4,16.4,10.6,-4.466868930187729,2026-09-19
Arles,1.2,0.9,1.4,1.6,0.8,1.3,,,,,13.275747739741973,2015-05-22
Arouca,1.0,1.8,1.0,1.4,1.8,1.1,3.8,6.0,11.4,14.2,-1.1275550321286119,2026-09-19
Arsenal,2.4,2.5,1.6,0.8,1.4,0.6,4.8,2.8,13.75,9.375,-7.985154349368258,2026-09-19
Ascoli,2.0,1.8,1.4,0.8,1.2,0.8,4.8,3.6,13.8,11.6,14.677063789332351,2026-09-19
Asteras Tripolis,0.4,1.3,0.8,1.8,1.2,1.3,4.4,4.4,12.2,12.3,-17.422192094619277,2026-09-20
