fecha,hora,competicion,local,visita,cuota_l,cuota_e,cuota_v,cuota_o25,cuota_u25
2026-09-25,19:30,SP2,Girona,Albacete,1.49,4.2,5.48,1.57,2.27
2026-09-26,13:00,SP2,Ceuta,Sociedad B,2.16,3.42,2.96,1.73,2.0
2026-09-26,15:15,SP2,Granada,Andorra,2.16,3.26,3.14,1.96,1.76
2026-09-26,17:30,SP2,Celta B,Sabadell,2.95,3.26,2.24,1.96,1.76
2026-09-26,17:30,SP2,Tenerife,Cadiz,1.9,3.14,4.02,2.33,1.54
2026-09-27,13:00,SP2,Valladolid,Cordoba,2.18,3.35,2.99,1.81,1.91
2026-09-27,15:15,SP2,Mallorca,Almeria,2.06,3.26,3.33,1.85,1.85
2026-09-27,17:30,SP2,Burgos,Eldense,1.9,3.25,3.83,2.1,1.66
2026-09-27,17:30,SP2,Eibar,Las Palmas,1.92,3.28,3.76,1.91,1.8
2026-09-27,20:00,SP2,Oviedo,Sp Gijon,1.98,3.13,3.74,2.29,1.56
2026-09-28,19:30,SP2,Leganes,Castellon,2.89,3.25,2.26,1.83,1.87
