club_tm,club_id,valor_plantel,div
Manchester City,281,1430000000.0,E0
Arsenal FC,11,1330000000.0,E0
Chelsea FC,631,1080000000.0,E0
Liverpool FC,31,1030000000.0,E0
Manchester United,985,924300000.0,E0
Tottenham Hotspur,148,824000000.0,E0
Newcastle United,762,606100000.0,E0
Brighton & Hove Albion,1237,603500000.0,E0
Brentford FC,1148,584800000.0,E0
Crystal Palace,873,579200000.0,E0
AFC Bournemouth,989,574550000.0,E0
Aston Villa,405,572500000.0,E0
Nottingham Forest,703,520500000.0,E0
Sunderland AFC,289,421630000.0,E0
Leeds United,399,407550000.0,E0
Fulham FC,931,396800000.0,E0
Everton FC,29,394300000.0,E0
Ipswich Town,677,330550000.0,E0
Coventry City,990,296700000.0,E0
Hull City,3008,251900000.0,E0
West Ham United,379,267500000.0,E1
Wolverhampton Wanderers,543,242450000.0,E1
Southampton FC,180,148300000.0,E1
Burnley FC,1132,147800000.0,E1
Middlesbrough FC,641,132400000.0,E1
Sheffield United,350,112250000.0,E1
Swansea City,2288,108130000.0,E1
Norwich City,1123,103380000.0,E1
Birmingham City,337,100250000.0,E1
Stoke City,512,97150000.0,E1
Wrexham AFC,1112,94500000.0,E1
Watford FC,1010,82800000.0,E1
Millwall FC,1028,82680000.0,E1
Derby County,22,71100000.0,E1
Queens Park Rangers,1039,68750000.0,E1
Bristol City,698,61850000.0,E1
Preston North End,466,59000000.0,E1
West Bromwich Albion,984,57850000.0,E1
Charlton Athletic,358,41280000.0,E1
Bolton Wanderers,355,37880000.0,E1
Portsmouth FC,1020,34930000.0,E1
Blackburn Rovers,164,34600000.0,E1
Cardiff City,603,29300000.0,E1
Lincoln City,1198,21300000.0,E1
Real Madrid,418,1460000000.0,SP1
FC Barcelona,131,1260000000.0,SP1
Atlético de Madrid,13,679700000.0,SP1
Villarreal CF,1050,331600000.0,SP1
Real Sociedad,681,278300000.0,SP1
Real Betis Balompié,150,254600000.0,SP1
Athletic Bilbao,621,231000000.0,SP1
Celta de Vigo,940,173000000.0,SP1
Sevilla FC,368,169100000.0,SP1
Valencia CF,1049,149100000.0,SP1
RCD Espanyol Barcelona,714,127800000.0,SP1
Deportivo A Coruña,897,115800000.0,SP1
Racing Santander,630,107500000.0,SP1
Getafe CF,3709,92300000.0,SP1
Levante UD,3368,86900000.0,SP1
Rayo Vallecano,367,86850000.0,SP1
CA Osasuna,331,77900000.0,SP1
Elche CF,1531,74000000.0,SP1
Deportivo Alavés,1108,66700000.0,SP1
Málaga CF,1084,55350000.0,SP1
Girona FC,12321,68600000.0,SP2
UD Almería,3302,59100000.0,SP2
RCD Mallorca,237,50200000.0,SP2
Real Oviedo,2497,35450000.0,SP2
CD Leganés,1244,31900000.0,SP2
UD Las Palmas,472,29700000.0,SP2
Cádiz CF,2687,29450000.0,SP2
Sporting Gijón,2448,27850000.0,SP2
CD Castellón,2502,25350000.0,SP2
